"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category"
"Ogfr",2.9513725216543e-06,1.53114304474603,1,0.75,0.0741650400966508,"Ogfr","Not Significant"
"Slamf7",3.20419958411271e-06,1.53602349116062,1,0.75,0.0805183313491684,"Slamf7","Not Significant"
"Inhba",3.41585012545295e-06,0.742432567740253,0.75,0.5,0.0858368978025071,"Inhba","Not Significant"
"Rasa4",3.89677741271836e-06,1.38332110355847,1,0.75,0.0979221196041996,"Rasa4","Not Significant"
"Nmi",4.11585467289238e-06,1.39740012939413,1,0.75,0.103427312075113,"Nmi","Not Significant"
"Psmb9",4.19287375591121e-06,1.56700907609117,1,0.75,0.105362724612293,"Psmb9","Not Significant"
"Jaml",4.27974106350928e-06,1.19579535505734,1,0.75,0.107545613184925,"Jaml","Not Significant"
"Chmp4b",4.455387368124e-06,1.57624778395607,1,0.75,0.111959429173588,"Chmp4b","Not Significant"
"Slfn2",5.06538714072165e-06,1.65241281340071,1,0.75,0.127288113459194,"Slfn2","Not Significant"
"Parp9",5.45456714979616e-06,1.39383340602189,1,0.75,0.137067817907228,"Parp9","Not Significant"
"Cd180",5.9868008053053e-06,1.54927010624325,1,0.75,0.150442317436517,"Cd180","Not Significant"
"Ccdc86",7.68623637669814e-06,1.29063218743378,1,0.75,0.193147433910048,"Ccdc86","Not Significant"
"Rnf114",8.22048571474693e-06,1.22680144186818,1,0.75,0.206572585525876,"Rnf114","Not Significant"
"Ddx60",8.26830835582357e-06,1.21357006504745,1,0.75,0.20777432067349,"Ddx60","Not Significant"
"9930111J21Rik2",8.98542446883879e-06,1.49758882368968,1,0.75,0.22579473147745,"9930111J21Rik2","Not Significant"
"Tnfsf10",9.25043643321767e-06,0.939731181475418,0.75,0.75,0.232454217130327,"Tnfsf10","Not Significant"
"Olfr56",1.01026123503364e-05,0.748265776288127,1,0,0.253868545751604,"Olfr56","Not Significant"
"H2-T24",1.02010238443829e-05,1.2407353121086,1,0.75,0.256341528185497,"H2-T24","Not Significant"
"Hat1",1.19267925014927e-05,1.35083765418936,1,0.75,0.29970836877001,"Hat1","Not Significant"
"Gm47242",1.2535378758282e-05,0.806790657263684,1,0.5,0.315001532816869,"Gm47242","Not Significant"
"Cyp4f18",1.30583116524465e-05,1.41022355887446,1,0.75,0.328142313514327,"Cyp4f18","Not Significant"
"Pnp",1.31254009123751e-05,1.57299624634173,1,0.75,0.329828199527075,"Pnp","Not Significant"
"Mthfr",1.45030421818803e-05,1.15783561807068,1,0.75,0.36444694698847,"Mthfr","Not Significant"
"Tapbp",1.68709634680099e-05,1.4477043270939,1,0.75,0.42395044098762,"Tapbp","Not Significant"
"Flt1",1.70024510835877e-05,1.13237537665993,1,0.75,0.427254593279476,"Flt1","Not Significant"
"Tgtp2",1.78971063742396e-05,0.895332948205627,0.75,0.75,0.449736386078267,"Tgtp2","Not Significant"
"Batf2",1.9509620644206e-05,1.08493715846806,1,0.75,0.490257257168253,"Batf2","Not Significant"
"Myd88",2.09004051840769e-05,1.45971558212243,1,0.75,0.525206281870667,"Myd88","Not Significant"
"Dck",2.12013556913801e-05,-0.40824254307615,1,1,0.532768867168691,"Dck","Not Significant"
"Epsti1",2.13084621464468e-05,1.51850514882668,1,0.75,0.53546034527806,"Epsti1","Not Significant"
"Kctd14",2.15078430350709e-05,0.96591265142521,1,0.75,0.540470587628296,"Kctd14","Not Significant"
"Tent4a",2.22894650633662e-05,1.26563875380711,1,0.75,0.560111967577329,"Tent4a","Not Significant"
"Psme2",2.26098284821133e-05,1.49622565005551,1,0.75,0.568162379927024,"Psme2","Not Significant"
"Samhd1",2.2652448285966e-05,1.75685994480348,1,0.75,0.56923337297804,"Samhd1","Not Significant"
"Mlkl",2.34549629243068e-05,1.36135110043021,1,0.75,0.589399763324906,"Mlkl","Not Significant"
"Ccnd2",2.54635179684798e-05,1.379147697029,1,0.75,0.63987274302993,"Ccnd2","Not Significant"
"Crybg1",2.88885847306361e-05,1.34025057972595,1,0.75,0.725941245696154,"Crybg1","Not Significant"
"Rasgrp1",2.93901666904409e-05,1.12816772701336,1,0.75,0.738545498764088,"Rasgrp1","Not Significant"
"Setdb2",2.99432455694366e-05,1.36331007282342,1,0.75,0.752443817914371,"Setdb2","Not Significant"
"Tshz2",3.14050332770832e-05,-1.36754359722778,1,1,0.789177081219824,"Tshz2","Not Significant"
"Glrx",3.15471858960441e-05,1.29374317094179,1,0.75,0.792749234381692,"Glrx","Not Significant"
"Slc25a22",3.49635339403628e-05,1.10292973298052,1,0.75,0.878598644387376,"Slc25a22","Not Significant"
"Tdrd7",3.54021906899833e-05,1.16248148500429,1,0.75,0.88962164984859,"Tdrd7","Not Significant"
"Xdh",3.55226588092086e-05,1.51014324657387,1,0.75,0.892648893216604,"Xdh","Not Significant"
"AW112010",3.66195290771736e-05,2.08580576273356,1,0.75,0.920212146180295,"AW112010","Not Significant"
"Vps37b",3.67564896498098e-05,1.15869368650289,1,0.75,0.92365382841007,"Vps37b","Not Significant"
"Coro2a",3.67594741001973e-05,1.20787707478136,1,0.75,0.923728824663857,"Coro2a","Not Significant"
"mt-Nd3",3.95728354830128e-05,-1.95481816486713,1,1,0.994425782852628,"mt-Nd3","Not Significant"
"Aplp2",3.99315594314533e-05,-1.50942360562424,1,1,1,"Aplp2","Not Significant"
"Pik3ap1",3.99894500665625e-05,1.43983335168743,1,0.75,1,"Pik3ap1","Not Significant"
"Ccr5",4.0304913894451e-05,1.33771309210484,1,0.75,1,"Ccr5","Not Significant"
"Mefv",4.32885047103209e-05,1.41780473388234,1,0.75,1,"Mefv","Not Significant"
"Zfas1",4.34302207471135e-05,1.3981977057256,1,0.75,1,"Zfas1","Not Significant"
"Cers6",4.4192349587362e-05,1.40323979963368,1,0.75,1,"Cers6","Not Significant"
"Treml2",4.7175076368903e-05,1.01019784465008,0.75,0.75,1,"Treml2","Not Significant"
"Stxbp3",4.74675635499522e-05,1.32450780424947,1,0.75,1,"Stxbp3","Not Significant"
"Clic4",4.77044125463702e-05,0.252193180564349,1,1,1,"Clic4","Not Significant"
"Usp25",5.13716761285998e-05,0.228585044518224,1,1,1,"Usp25","Not Significant"
"Csrp1",5.4869353786297e-05,1.32632069020908,1,0.75,1,"Csrp1","Not Significant"
"Trim34a",5.6898632613218e-05,1.17918376317275,1,0.75,1,"Trim34a","Not Significant"
"Psmb8",6.11390941679361e-05,1.4854278590214,1,0.75,1,"Psmb8","Not Significant"
"Gm12185",7.49100090548178e-05,0.75135003134527,1,0.5,1,"Gm12185","Not Significant"
"Parp10",8.11179359140237e-05,1.01133646524118,1,0.75,1,"Parp10","Not Significant"
"Sppl2a",8.48763131592719e-05,1.46874905562189,1,0.75,1,"Sppl2a","Not Significant"
"Obp1b",9.03130420038304e-05,1.37637014689616,1,0.75,1,"Obp1b","Not Significant"
"Dnase1l3",9.07635011436527e-05,1.01854585854267,0.75,0.75,1,"Dnase1l3","Not Significant"
"Gpsm2",9.20316217015506e-05,1.44701181273392,1,0.5,1,"Gpsm2","Not Significant"
"Coa5",9.66100462088223e-05,1.16241548504266,1,0.75,1,"Coa5","Not Significant"
